"#","RefDes","Value","Type","Part","Number of Pins","Pattern","Quantity","Datasheet"
"1","C1, C4, C5","0.0001uF","CAP","Part 1","2","CAPP-2.54/6.6x3","3",""
"2","C2","47uF","CAP100RP","Part 1","2","CAPPR-2.54/5.08","1",""
"3","C3","10uF","CAP100RP","Part 1","2","CAPPR-2.54/5.08","1",""
"4","DIN1, DIN2","","DIN5","Part 1","5","DIN5","2",""
"5","DIN3","","MINI-DIN6","Part 1","6","PS2-6PIN","1",""
"6","J1","","IDC2X7M","Part 1","14","IDC14M","1",""
"7","MSP430G2211","","MSP430F2001_PDIP","Part 1","14","DIP-14","1","http://www.datasheetarchive.com/pdf-datasheets/Datasheets-28/DSA-543923.html"
"8","R1, R2, R3, R4","300","RES400","Part 1","2","RES-10.16/5.1x2.5","4",""
"9","R5","47K","RES400","Part 1","2","RES-10.16/5.1x2.5","1",""
"10","U2","","LM3940IT3.3","Part 1","3","TO-220","1",""
"","","","","","52","","16",""
